0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,M1,140,790,0,0,45,0,885,-885,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,M1,0,0,0,0,11,0,-11,11,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,M2,983,2404,0,0,0,0,3388,-3388,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,M2,0,0,0,0,23,0,-23,23,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOELEATHER,moda,M1,3,148,0,0,57,0,94,-94,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOELEATHER,basico,M1,0,0,0,0,14,0,-14,14,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOELEATHER,moda,M2,202,436,0,0,0,0,638,-638,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOELEATHER,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOESPORT,moda,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOESPORT,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOESPORT,moda,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOESPORT,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,LUCENTZZA,moda,M1,3713,0,0,0,0,0,3713,-3713,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,LUCENTZZA,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,LUCENTZZA,moda,M2,1,0,0,0,0,0,1,-1,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,LUCENTZZA,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOEMOM&BABY,moda,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOEMOM&BABY,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOEMOM&BABY,moda,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOEMOM&BABY,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOEGIRLS,moda,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOEGIRLS,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOEGIRLS,moda,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOEGIRLS,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BILLETERA,CLOEUOMO,moda,M1,332,157,0,0,14,0,476,-476,0
