DATE,UNE,SUBMARCA,MERCADO,VENTA_PRECIOLISTAOTB
2020-11-01,ACCESORIOS,LUCENTZZA,M1,0.0
2020-11-01,ACCESORIOS,LUCENTZZA,M2,0.0
2020-11-01,ACCESORIOS,X,M1,0.0
2020-11-01,ACCESORIOS,X,M2,0.0
2020-11-01,ACCESORIOS,Y,M1,0.0
2020-11-01,ACCESORIOS,Y,M2,0.0
2020-11-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,M1,38.530260638600005
2020-11-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,M2,1.0
2020-11-01,BILLETERA,CLOE,M1,3963.0315310299998
2020-11-01,BILLETERA,CLOE,M2,233.0
2020-11-01,BILLETERA,CLOEGIRLS,M1,0.0
2020-11-01,BILLETERA,CLOEGIRLS,M2,0.0
2020-11-01,BILLETERA,CLOELEATHER,M1,48.104680650499986
2020-11-01,BILLETERA,CLOELEATHER,M2,0.0
2020-11-01,BILLETERA,CLOEMOM&BABY,M1,0.0
2020-11-01,BILLETERA,CLOEMOM&BABY,M2,0.0
2020-11-01,BILLETERA,CLOESEXTOSENTIDO,M1,0.0
2020-11-01,BILLETERA,CLOESEXTOSENTIDO,M2,0.0
2020-11-01,BILLETERA,CLOEUOMO,M1,14.080213745699997
2020-11-01,BILLETERA,CLOEUOMO,M2,0.0
2020-11-01,BILLETERA,LUCENTZZA,M1,538.0
2020-11-01,BILLETERA,LUCENTZZA,M2,0.0
2020-11-01,BILLETERA,X,M1,0.0
2020-11-01,BILLETERA,X,M2,0.0
2020-11-01,BILLETERA,Y,M1,0.0
2020-11-01,BILLETERA,Y,M2,0.0
2020-11-01,BOLSO,CLOEAGATHARUIZDELAPRADA,M1,83.033880963
2020-11-01,BOLSO,CLOEAGATHARUIZDELAPRADA,M2,0.0
2020-11-01,BOLSO,CLOE,M1,15330.34126938
2020-11-01,BOLSO,CLOE,M2,1276.0
2020-11-01,BOLSO,CLOEGIRLS,M1,435.7089216183
2020-11-01,BOLSO,CLOEGIRLS,M2,8.0
2020-11-01,BOLSO,CLOELEATHER,M1,156.429162246
2020-11-01,BOLSO,CLOELEATHER,M2,0.0
2020-11-01,BOLSO,CLOEMOM&BABY,M1,1284.395881082
2020-11-01,BOLSO,CLOEMOM&BABY,M2,109.0
2020-11-01,BOLSO,CLOESEXTOSENTIDO,M1,0.0
2020-11-01,BOLSO,CLOESEXTOSENTIDO,M2,0.0
2020-11-01,BOLSO,CLOEUOMO,M1,0.0
2020-11-01,BOLSO,CLOEUOMO,M2,0.0
2020-11-01,BOLSO,LUCENTZZA,M1,1137.0
2020-11-01,BOLSO,LUCENTZZA,M2,0.0
2020-11-01,BOLSO,X,M1,0.0
2020-11-01,BOLSO,X,M2,0.0
2020-11-01,BOLSO,Y,M1,0.0
2020-11-01,BOLSO,Y,M2,0.0
2020-11-01,CALZADO,CLOEAGATHARUIZDELAPRADA,M1,23.3089386666
2020-11-01,CALZADO,CLOEAGATHARUIZDELAPRADA,M2,0.0
2020-11-01,CALZADO,CLOE,M1,2665.68159079
2020-11-01,CALZADO,CLOE,M2,264.0
2020-11-01,CALZADO,CLOEGIRLS,M1,0.0
2020-11-01,CALZADO,CLOEGIRLS,M2,0.0
2020-11-01,CALZADO,CLOELEATHER,M1,0.0
2020-11-01,CALZADO,CLOELEATHER,M2,0.0
2020-11-01,CALZADO,CLOEMOM&BABY,M1,0.0
2020-11-01,CALZADO,CLOEMOM&BABY,M2,0.0
2020-11-01,CALZADO,CLOESEXTOSENTIDO,M1,0.0
2020-11-01,CALZADO,CLOESEXTOSENTIDO,M2,0.0
2020-11-01,CALZADO,CLOEUOMO,M1,0.0
2020-11-01,CALZADO,CLOEUOMO,M2,0.0
2020-11-01,CALZADO,LUCENTZZA,M1,0.0
2020-11-01,CALZADO,LUCENTZZA,M2,0.0
2020-11-01,CALZADO,X,M1,0.0
2020-11-01,CALZADO,X,M2,0.0
2020-11-01,CALZADO,Y,M1,0.0
2020-11-01,CALZADO,Y,M2,0.0
2020-11-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,M1,23.0106099146
2020-11-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,M2,1.0
2020-11-01,COSMETIQUERA,CLOE,M1,792.8387129540001
2020-11-01,COSMETIQUERA,CLOE,M2,1.0
2020-11-01,COSMETIQUERA,CLOEGIRLS,M1,0.0
2020-11-01,COSMETIQUERA,CLOEGIRLS,M2,0.0
2020-11-01,COSMETIQUERA,CLOELEATHER,M1,0.0
2020-11-01,COSMETIQUERA,CLOELEATHER,M2,0.0
2020-11-01,COSMETIQUERA,CLOEMOM&BABY,M1,0.0
