DATE,UNE,SUBMARCA,CATEGORIA,RATE_CATEGORY_MODA
2020-5-01,BILLETERA,CLOEUOMO,basico,0.2
2020-5-01,BILLETERA,CLOELEATHER,moda,0.8
2020-5-01,BILLETERA,CLOELEATHER,basico,0.2
2020-5-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-5-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-5-01,BILLETERA,CLOE,moda,0.8
2020-5-01,BILLETERA,CLOE,basico,0.2
2020-5-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-5-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-6-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-6-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-6-01,BILLETERA,CLOESPORT,moda,0.8
2020-6-01,BILLETERA,CLOESPORT,basico,0.2
2020-6-01,BILLETERA,CLOEUOMO,moda,0.8
2020-6-01,BILLETERA,CLOEUOMO,basico,0.2
2020-6-01,BILLETERA,CLOELEATHER,moda,0.8
2020-6-01,BILLETERA,CLOELEATHER,basico,0.2
2020-6-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-6-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-6-01,BILLETERA,CLOE,moda,0.8
2020-6-01,BILLETERA,CLOE,basico,0.2
2020-6-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-6-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-7-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-7-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-7-01,BILLETERA,CLOESPORT,moda,0.8
2020-7-01,BILLETERA,CLOESPORT,basico,0.2
2020-7-01,BILLETERA,CLOEUOMO,moda,0.8
2020-7-01,BILLETERA,CLOEUOMO,basico,0.2
2020-7-01,BILLETERA,CLOELEATHER,moda,0.8
2020-7-01,BILLETERA,CLOELEATHER,basico,0.2
2020-7-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-7-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-7-01,BILLETERA,CLOE,moda,0.8
2020-7-01,BILLETERA,CLOE,basico,0.2
2020-7-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-7-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-8-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-8-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-8-01,BILLETERA,CLOESPORT,moda,0.8
2020-8-01,BILLETERA,CLOESPORT,basico,0.2
2020-8-01,BILLETERA,CLOEUOMO,moda,0.8
2020-8-01,BILLETERA,CLOEUOMO,basico,0.2
2020-8-01,BILLETERA,CLOELEATHER,moda,0.8
2020-8-01,BILLETERA,CLOELEATHER,basico,0.2
2020-8-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-8-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-8-01,BILLETERA,CLOE,moda,0.8
2020-8-01,BILLETERA,CLOE,basico,0.2
2020-8-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-8-01,BILLETERA,CLOEMOM&BABY,basico,0.2
